matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/webbase-1M.mtx,strong,mpiio,2,2,OK,4.195,0.755,3.441,1.480429,47.387,7.629,1441749,1552767.50,1663786
matrices/strong/webbase-1M.mtx,strong,mpiio,2,4,OK,4.351,0.751,3.600,1.427458,47.387,7.629,1441749,1552767.50,1663786
matrices/strong/webbase-1M.mtx,strong,mpiio,2,8,OK,4.737,0.763,3.974,1.311144,47.387,7.629,1441749,1552767.50,1663786
matrices/strong/webbase-1M.mtx,strong,mpiio,4,2,OK,7.451,6.070,1.381,0.833582,47.387,15.259,25547,776383.25,1638238
matrices/strong/webbase-1M.mtx,strong,mpiio,4,4,OK,7.560,5.973,1.587,0.821568,47.387,15.259,25547,776383.25,1638238
matrices/strong/webbase-1M.mtx,strong,mpiio,4,8,OK,7.869,6.022,1.848,0.789260,47.387,15.259,25547,776383.25,1638238
matrices/strong/webbase-1M.mtx,strong,mpiio,8,2,OK,5.945,4.508,1.437,1.044717,47.387,15.259,1536,388191.12,1049502
matrices/strong/webbase-1M.mtx,strong,mpiio,8,4,OK,6.012,4.464,1.547,1.033157,47.387,15.259,1536,388191.12,1049502
matrices/strong/webbase-1M.mtx,strong,mpiio,8,8,OK,6.542,4.643,1.898,0.949417,47.387,15.259,1536,388191.12,1049502
matrices/strong/webbase-1M.mtx,strong,mpiio,16,2,OK,11.600,8.042,3.558,0.535434,47.386,30.518,140,194095.06,990183
matrices/strong/webbase-1M.mtx,strong,mpiio,16,4,OK,11.665,2.764,8.900,0.532468,47.386,30.518,140,194095.06,990183
matrices/strong/webbase-1M.mtx,strong,mpiio,16,8,OK,6.645,5.185,1.459,0.934733,47.386,30.518,140,194095.06,990183
matrices/strong/webbase-1M.mtx,strong,mpiio,32,2,OK,14.934,3.703,11.230,0.415909,47.386,30.518,53,97047.03,695147
matrices/strong/webbase-1M.mtx,strong,mpiio,32,4,OK,5.641,4.396,1.244,1.101144,47.386,30.518,53,97047.03,695147
matrices/strong/webbase-1M.mtx,strong,mpiio,64,2,OK,14.912,13.664,1.247,0.416516,47.386,61.035,12,48523.03,552282
matrices/weak/poisson_weak_1.mtx,weak,mpiio,1,4,OK,0.341,0.005,0.336,0.430689,1.122,0.081,73522,73522.00,73522
matrices/weak/poisson_weak_2.mtx,weak,mpiio,2,4,OK,0.339,0.005,0.334,0.804981,2.079,0.150,68129,68132.50,68136
matrices/weak/poisson_weak_4.mtx,weak,mpiio,4,4,OK,0.488,0.086,0.402,1.117151,4.162,0.600,1190,68185.50,135182
matrices/weak/poisson_weak_8.mtx,weak,mpiio,8,4,OK,0.551,0.096,0.454,2.006402,8.434,1.213,0,69093.62,137243
matrices/weak/poisson_weak_16.mtx,weak,mpiio,16,4,OK,1.192,0.729,0.463,1.839253,16.728,4.805,0,68517.50,269615
matrices/weak/poisson_weak_32.mtx,weak,mpiio,32,4,OK,1.190,0.752,0.438,3.682765,33.441,9.596,0,68487.09,270432
